EQ, 680152894.8, SAW, UW,   , EHZ, P, None, F
EQ, 680152877.09, WA2, UW,   , EHZ, P, None, F
EQ, 750345564.88, DPW, UW,   , SHZ, P, None, F
EQ, 750345547.54, VBE, UW,   , SHZ, P, None, F
EQ, 750345544.0, KMO, UW,   , SHZ, P, None, F
EQ, 750345547.35, BOW, UW,   , SHZ, P, None, F
EQ, 750345553.82, JBO, UW,   , SHZ, P, None, F
EQ, 750345550.89, ASR, UW,   , SHZ, P, None, F
EQ, 750345549.05, VIP, UW,   , SHZ, P, None, F
EQ, 750345559.01, LNO, UW,   , SHZ, P, None, F
EQ, 750345547.46, ONR, UW,   , SHZ, P, None, F
EQ, 750345561.03, SAW, UW,   , SHZ, P, None, F
EQ, 750345558.39, WA2, UW,   , SHZ, P, None, F
EQ, 750345555.73, JCW, UW,   , SHZ, P, None, F
EQ, 750345555.96, ELL, UW,   , SHZ, P, None, F
EQ, 750345553.06, FMW, UW,   , SHZ, P, None, F
EQ, 750345549.01, VCR, UW,   , SHZ, P, None, F
EQ, 750345551.45, STW, UW,   , SHZ, P, None, F
EQ, 750345559.54, WAT, UW,   , SHZ, P, None, F
EQ, 750345538.18, RNO, UW,   , SHZ, P, None, F
EQ, 750345537.02, DBO, UW,   , SHZ, P, None, F
EQ, 750345551.52, LO2, UW,   , SHZ, P, None, F
EQ, 750345544.11, SSO, UW,   , SHZ, P, None, F
EQ, 750345555.02, MCW, UW,   , SHZ, P, None, F
EQ, 766741061.69, VSP, UW,   , EHZ, P, None, F
EQ, 766741063.59, HOG, UW,   , EHZ, P, None, F
EQ, 766741067.1, HOG, UW,   , EHZ, S, None, F
EQ, 766741085.27, BBO, UW,   , EHZ, S, None, F
EQ, 766741063.55, LAB, UW,   , EHN, S, None, F
EQ, 766741061.47, LAB, UW,   , EHZ, P, None, F
EQ, 766741063.5, VRC, UW,   , EHZ, P, None, F
EQ, 766741066.66, VRC, UW,   , EHZ, S, None, F
EQ, 678146184.87, STD, UW,   , EHZ, P, None, F
EQ, 678146183.24, ELK, UW,   , EHZ, P, None, F
EQ, 678146181.91, CMM, UW,   , EHZ, P, None, F
EQ, 678146188.31, GLK, UW,   , EHZ, P, None, F
EQ, 678146187.61, LVP, UW,   , EHZ, P, None, F
EQ, 678146194.94, LVP, UW,   , EHZ, S, None, F
EQ, 678146188.6, MTM, UW,   , EHZ, P, None, F
EQ, 678146183.12, TDL, UW,   , EHZ, P, None, F
